idPoksi	kodepoksi	idUnit	namapoksi	idPerusahaan	creator	modifier	tgl_creator	tgl_modifier
1	10000	1	Mengelola dan merumuskan kebijakan Perusahaan secara menyeluruh dan terintegrasi sesuai kebijakan umum yang digariskan Pemerintah cq. Menteri Negara Pendayagunaan BUMN dan Pemegang Saham serta menetapkan kebijakan Perusahaan dan sasaran Rencana Jangka Panjang Perusahaan (RJPP) dan Rencana Kerja & Anggaran Perusahaan (RKAP) serta mengkoordinasikan dan mengintegrasikan fungsi masing-masing Direktur; Deputy Direktur Strategic; Corporate Secretary; Head Of Internal Control; untuk tercapainya misi dan tujuan perusahaan sehingga memperoleh laba dalam arti yang luas	KS	1	1	2013-08-15 03:34:44	2013-09-17 10:14:11
2	12000	8	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program komunikasi internal maupun eksternal perusahaan, penyimpanan risalah rapat Direksi, pengelolaan dokumen penting perusahaan termasuk Surat Keputusan Direksi, implementasi dan audit GCG dan Risk. Management Perusahaan, penanganan permasalahan hukum dan pertimbangan hukum terhadap aktivitas bisnis perusahaan serta mengintegrasikan fungsi Corporate Communication dan Community Development dalam rangka meningkatkan citra perusahaan untuk mendukung visi dan misi perusahaan	KS	1	1	2013-08-15 03:36:37	2013-09-18 03:47:20
3	12200	30	Mengorganisasikan, mengkoordinasikan, merekomendasikan dan melaksanakan program pengembangan, implementasi strategi komunikasi internal dan external perusahaan meliputi promosi dan penyebaran informasi, pengelolaan web site perusahaan, penciptaan berita dan peristiwa yang bernilai positif bagi perusahaan, pro aktif dalam merespon isu-isu kebijakan public yang mempengaruhi bisnis perusahaan, mengkomunikasikan kebijakan Direksi/Perusahaan, melaksanakan kegiatan protokoler meliputi pengaturan acara termasuk penyiapan fasilitas/akomodasi, pengaturan kegiatan rumah tangga Direksi, mengkomunikasikan kebijakan-kebijakan Direksi/Perusahaan dan bertindak sebagai event organizer kepada pihak internal perusahaan, mewakili Perusahaan/Direksi dan/atau mendampingi Direksi pada acra-acra yang diselenggarakan Instansi/Instusi tertentu	KS	1		2013-08-15 03:37:18	
4	12400	31	Melaksanakan manajemen dalam implementasi GCG dan pengelolaan manajemen risiko PT KS dan Grup, pelaksanaan sosialisasi, evaluasi, monitoring, laporan GCG&Risk Management serta audit bersama SPI 	KS	1	6001	2013-09-02 11:46:37	2013-10-30 10:16:40
5	12500	32	Mengorganisasikan dan mengkoordinasikan pengkajian dan penelitian kontrak-kontrak kerja, surat-surat Keputusan Direksi dan Peraturan Perusahaan dari aspek hukum, mengurus perijinan, bantuan hukum perusahaan serta bertindak sebagai kuasa hukum perusahaan dalam memproteksi maupun menyelesaikan masalah hukum perusahaan serta menyiapkan legal analisis dan memorandum atas permasalahan hukum yang timbul akibat kontrak kerja, permasalahan hukum ketenagakerjaan, hukum pertanahan dan permasalahan-permasalahan hukum lainnya	KS	1		2013-08-15 03:37:44	
6	13000	9	Merencanakan, mengorganisasikan, mengkoordinasikan dan mengendalikan aktivitas perumusan sasaran & rencana strategis internal audit, pelaksanaan audit pada seluruh unit bisnis perusahaan, monitoring tindak lanjut hasil audit dari Internal Audit maupun Eksternal Audit, konsultan internal bagi manajemen perusahaan dengan menghasilkan laporan yang memuat rekomendasi atau alternatif solusi mengenai keandalan sistem pengendalian intern, kepatuhan terhadap peraturan dan perundangan yang berlaku dan kecukupan pelaksanaan risk management guna peningkatan efisiensi, efektivitas dan kinerja perusahaan	KS	1		2013-08-15 03:38:04	
7	20000	2	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan-kebijakan dan strategi pengelolaan logistik perusahaan yang meliputi perencanaan pengadaan bahan baku dan material atau barang-barang penunjang lainnya sehingga pengadaan barang untuk menunjang terselenggaranya operasional bisnis perusahaan berjalan efektif dan efisien	KS	1		2013-08-15 03:39:23	
8	22000	10	Mengendalikan perencanaan dan penyusunan strategi pembelian barang maupun pengadaan jasa, sourcing management, pengelolaan katalogisasi barang maupun jasa, evaluasi perkiraan harga, clearance barang impor, manajemen vendor, penanganan klaim pembelian barang apabila terjadi penyimpangan dan manajemen pergudangan untuk memastikan perencanaan dan pengendalian pembelian barang maupun pengadaan jasa tepat kualitas, kuantitas, spesifikasi, harga maupun waktu sesuai kebutuhan perusahaan serta kegiatan pengendalian, penyimpanan dan pelayanan barang di gudang dapat dikelola dengan baik	KS	1		2013-08-15 03:40:03	
9	22200	34	Mengorganisasikan dan mengkoordinasikan kegiatan evaluasi dan penyusunan Harga Perkiraan Sendiri/Owner Estimate (HPS/OE) untuk pembelian barang dan penyusunan harga satuan pekerjaan jasa untuk perencanaan pengadaan jasa, evaluasi dan penyusunan katalogisasi spesifikasi barang baik suku cadang, bahan baku maupun bahan pembantu produksi dan barang umum lainnya serta evaluasi dan penyusunan Services Master Catalog, memastikan dan memutahirkan data-data tersebut diatas serta kegiatan sourcing dengan baik	KS	1		2013-08-15 03:40:36	
10	22300	35	Mengorganisasikan dan mengkoordinasikan kegiatan perencanaan pembelian bahan baku dan bahan pembantu produksi, material umum lainnya, perencanaan pengadaan seluruh pekerjaan jasa yang ada di perusahaan kecuali pekerjaan jasa perawatan pabrik dan jasa pembangunan, untuk menjamin akurasi dan optimasi perencanaan pengadaan barang maupun jasa	KS	1		2013-08-15 03:41:05	
11	22400	36	Mengorganisasikan dan mengkoordinasikan kegiatan penerimaan, pemeriksaan, penyimpanan, pemeliharaan, distribusi dan pengendalian stok suku cadang dan non suku cadang, pengelolaan barang limbah, guna menjamin pengelolaan barang di gudang efisien dan efektif	KS	1		2013-08-15 03:41:40	
12	22500	37	Mengorganisasikan dan mengkoordinasikan serta menyelenggarakan kegiatan vendor manajemen yang meliputi registrasi, assessment dan evaluasi vendor, pelaksanaan penerbitan service entry dan Service Acceptance atas pekerjaan jasa non pembangunan; penanganan klaim terhadap vendor atas pembelian barang dan jasa ; pengurus barang impor, akseptasi dan penjadwalan kapal; serta memastikan dan memutahirkan master data vendor, agar pengadaan barang dan jasa non pembangunan berjalan secara efektif dan efesien	KS	1		2013-08-15 03:42:02	
13	23000	11	Mengendalikan proses dan menentukan strategi pembelian barang maupun pengadaan jasa guna memastikan proses pengadaan barang maupun jasa berjalan secara efektif dan efisien dan sesuai prosedur yang telah ditetapkan, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:42:26	
14	23200	38	Mengorganisasikan dan mengkoordinasikan proses pembelian suku cadang baik suku cadang mekanik, listrik maupun suku cadang lainnya serta guna menjamin proses pembelian suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:42:46	
15	23300	39	Mengorganisasikan dan mengkoordinasikan proses pembelian bahan baku, bahan pembantu produksi dan barang atau material  umum lainnya guna menjamin proses pembelian suku cadang berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:43:11	
16	23400	40	Mengorganisasikan dan mengkoordinasikan kegiatan pengadaan jasa perawatan pabrik, jasa perawatan sipil mupun umum dan jasa non perawatan, serta guna memastikan pelaksanaan pengadaan jasa berjalan optimal, sesuai prosedur, tepat harga, tepat kualitas, tepat kuantitas dan tepat waktu	KS	1		2013-08-15 03:43:33	
17	30000	3	Memastikan perusahaan menyediakan produk baja bermutu sesuai kebutuhan konsumen maupun pasar, tepat waktu dengan harga yang kompetitif melalui proses pengendalian kehandalan fasilitas produksi, efisiensi proses produksi, ketepatan penjaminan kualitas dan ketepatan kegiatan riset dan pengembangan proses maupun produk	KS	1		2013-08-15 03:43:55	
