idPoksi	kodepoksi	idUnit	namapoksi
1	10000	19	Mengelola dan merumuskan kebijakan Perusahaan secara menyeluruh dan terintegrasi sesuai kebijakan umum yang digariskan Pemerintah cq. Menteri Negara Pendayagunaan BUMN dan Pemegang Saham serta menetapkan kebijakan Perusahaan dan sasaran Rencana Jangka Panjang Perusahaan (RJPP) dan Rencana Kerja & Anggaran Perusahaan (RKAP) serta mengkoordinasikan dan mengintegrasikan fungsi masing-masing Direktur; Deputy Direktur Strategic; Corporate Secretary; Head Of Internal Control; untuk tercapainya misi dan tujuan perusahaan sehingga memperoleh laba dalam arti yang luas
2	20000	20	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan-kebijakan dan strategi pengelolaan logistik perusahaan yang meliputi perencanaan pengadaan bahan baku dan material atau barang-barang penunjang lainnya sehingga pengadaan barang untuk menunjang terselenggaranya operasional bisnis perusahaan berjalan efektif dan efisien
3	30000	21	Memastikan perusahaan menyediakan produk baja bermutu sesuai kebutuhan konsumen maupun pasar, tepat waktu dengan harga yang kompetitif melalui proses pengendalian kehandalan fasilitas produksi, efisiensi proses produksi, ketepatan penjaminan kualitas dan ketepatan kegiatan riset dan pengembangan proses maupun produk
4	40000	22	Memastikan perusahaan memiliki strategi, kebijakan dan manajemen yang handal dan adaptif terhadap tuntutan perkembangan pasar dan konsumen maupun kelancaran operasional bisnis melalui pengelolaan kebijakan strategi pemasaran produk, by product dan jasa non core Krakatau Steel di pasar dalam negeri maupun luar negeri guna mengoptimalkan utilisasi kapasitas produksi dan menghasilkan profit maksimal sesuai policy pemasaran yang ditetapkan perusahaan
5	50000	23	Memastikan perusahaan memiliki strategi, kebijakan dan manajemen keuangan yang handal dan adaptif terhadap tuntutan perkembangan maupun kelancaran kegiatan operasional bisnis melalui pengelolaan sistem akuntansi, sistem perbendaharaan dan sistem informasi yang tepat, efektif dan efisien serta memastikan bahwa investasi perusahaan di anak perusahaan dan perusahaan patungan (KS Grup) dapat memberikan deviden yang menguntungkan bagi perusahaan dan pengelolaan Bapelkes PTKS berjalan selaras dengan kepentingan perusahaan dan anggota
6	60000	24	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan pengelolaan modal insani dalam rangka menghasilkan modal insani dengan jumlah yang tepat, kinerja dan produktivitas yang tinggi, pada setiap tingkatan organisasi untuk menciptakan nilai tambah bagi perusahaan sesuai dengan ketentuan peraturan per-undangan yang berlaku serta memastikan bahwa program kemitraan & bina lingkungan, pengelolalan keamanan perusahaan, pengelolaaan asset perusahaan berjalan secara efektif dan efisien
7	70000	25	Merencanakan, merumuskan, mengendalikan dan mengembangkan kebijakan-kebijakan dalam rangka mendukung kegiatan perencanaan dan pengembangan usaha, pengelolaan proyek-proyek strategis, evaluasi dan perencanaan teknologi serta bekerja sama secara langsung dengan CEO dalam melakukan evaluasi keberhasilan Proyek Strategis dan mengkoordinasikan, mengintegrasikan fungsi-fungsi Sub Direktorat Research & Technology, Sub Direktorat Corporate Planning & Business Developement, Sub Direktorat Blast Furnace dan Divisi Project Manajemen, untuk menjamin pencapaian sasaran strategis perusahaan serta bertindak sebagai integrator perencanaan proyek pengembangan Anak Perusahaan / Perusahaan Patungan  yang terkait dengan pengembangan PT. Krakatau Steel (Persero) Tbk
8	12000	26	Memikirkan, merumuskan, merekomendasikan dan melaksanakan strategi, kebijakan dan program komunikasi internal maupun eksternal perusahaan, penyimpanan risalah rapat Direksi, pengelolaan dokumen penting perusahaan termasuk Surat Keputusan Direksi, implementasi dan audit GCG dan Risk. Management Perusahaan, penanganan permasalahan hukum dan pertimbangan hukum terhadap aktivitas bisnis perusahaan serta mengintegrasikan fungsi Corporate Communication dan Community Development dalam rangka meningkatkan citra perusahaan untuk mendukung visi dan misi perusahaan
9	13000	27	Merencanakan, mengorganisasikan, mengkoordinasikan dan mengendalikan aktivitas perumusan sasaran & rencana strategis internal audit, pelaksanaan audit pada seluruh unit bisnis perusahaan, monitoring tindak lanjut hasil audit dari Internal Audit maupun Eksternal Audit, konsultan internal bagi manajemen perusahaan dengan menghasilkan laporan yang memuat rekomendasi atau alternatif solusi mengenai keandalan sistem pengendalian intern, kepatuhan terhadap peraturan dan perundangan yang berlaku dan kecukupan pelaksanaan risk management guna peningkatan efisiensi, efektivitas dan kinerja perusahaan
10	22000	28	Mengendalikan perencanaan dan penyusunan strategi pembelian barang maupun pengadaan jasa, sourcing management, pengelolaan katalogisasi barang maupun jasa, evaluasi perkiraan harga, clearance barang impor, manajemen vendor, penanganan klaim pembelian barang apabila terjadi penyimpangan dan manajemen pergudangan untuk memastikan perencanaan dan pengendalian pembelian barang maupun pengadaan jasa tepat kualitas, kuantitas, spesifikasi, harga maupun waktu sesuai kebutuhan perusahaan serta kegiatan pengendalian, penyimpanan dan pelayanan barang di gudang dapat dikelola dengan baik
